C,x64
0.040000,0.019000
0.040000,0.022000
0.040000,0.021000
0.041000,0.018000
0.040000,0.024000
0.041000,0.020000
0.040000,0.019000
0.038000,0.018000
0.037000,0.019000
0.039000,0.019000
0.038000,0.018000
0.038000,0.020000
0.038000,0.018000
0.039000,0.018000
0.037000,0.018000
0.037000,0.018000
0.040000,0.019000
0.038000,0.017000
0.038000,0.018000
0.038000,0.017000
0.039000,0.018000
0.039000,0.018000
0.038000,0.018000
0.038000,0.018000
0.039000,0.018000
0.038000,0.018000
0.039000,0.017000
0.038000,0.018000
0.038000,0.018000
0.039000,0.018000
0.038000,0.018000
0.039000,0.017000
0.038000,0.018000
0.038000,0.018000
0.042000,0.020000
0.039000,0.017000
0.038000,0.017000
0.039000,0.018000
0.037000,0.020000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.040000,0.017000
0.038000,0.018000
0.039000,0.019000
0.038000,0.018000
0.038000,0.018000
0.038000,0.017000
0.038000,0.017000
0.040000,0.017000
0.037000,0.017000
0.040000,0.017000
0.038000,0.018000
0.039000,0.017000
0.038000,0.018000
0.038000,0.017000
0.040000,0.019000
0.037000,0.018000
0.038000,0.017000
0.038000,0.018000
0.041000,0.017000
0.039000,0.018000
0.039000,0.018000
0.038000,0.018000
0.038000,0.017000
0.038000,0.018000
0.038000,0.017000
0.039000,0.018000
0.037000,0.019000
0.043000,0.022000
0.041000,0.024000
0.043000,0.019000
0.039000,0.018000
0.039000,0.020000
0.039000,0.019000
0.040000,0.020000
0.041000,0.018000
0.038000,0.018000
0.039000,0.017000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.040000,0.018000
0.039000,0.017000
0.038000,0.019000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
0.039000,0.017000
0.039000,0.017000
0.038000,0.018000
0.038000,0.018000
0.038000,0.019000
0.039000,0.018000
0.038000,0.018000
0.038000,0.018000
0.038000,0.018000
